t,accCmpX,accCmpY,accCmpZ
173,-3.22745,0.76518,-5.44459
174,-3.34382,0.76518,-5.32822
175,-3.46435,0.76518,-5.20769
176,-7.28953,0.67689,0.77569
177,1.15863,0.67689,-7.67247
178,10.8427,0.67689,-17.3565
179,9.78423,0.67689,-16.2981
180,-0.424389,0.67689,-6.08945
181,-5.734,0.00981,-3.9779
182,-7.81902,0.00981,-1.89288
183,-6.31141,0.00981,-3.40049
184,-1.97071,0.00981,-7.74119
185,3.57601,0.00981,-13.2879
186,-1.94353,0.46107,-8.42564
187,-6.2352,0.46107,-4.13397
188,-7.94482,0.46107,-2.42435
189,-6.35166,0.46107,-4.01751
190,-1.84261,0.46107,-8.52656
191,2.98575,0.42183,-12.0894
192,7.6756,0.42183,-16.7793
193,10.8283,0.42183,-19.932
194,11.4682,0.42183,-20.5719
195,9.27535,0.42183,-18.379
196,11.0787,0.05886,-21.3694
197,4.94014,0.05886,-15.2308
198,-3.94383,0.05886,-6.34686
199,-8.18722,0.05886,-2.10347
200,-4.47483,0.05886,-5.81586
201,-6.11009,0.70632,-3.8863
202,7.68979,0.70632,-17.6862
203,9.23027,0.70632,-19.2267
204,-4.68663,0.70632,-5.30976
205,-5.79127,0.70632,-4.20512
206,-5.15219,0.2943,-4.27522
207,-4.20673,0.2943,-5.22068
208,-3.06958,0.2943,-6.35783
209,-1.73463,0.2943,-7.69278
210,-0.210667,0.2943,-9.21674
211,9.77365,0.37278,-20.0153
212,9.43092,0.37278,-19.6726
213,-0.902132,0.37278,-9.33951
214,-8.25458,0.37278,-1.98706
215,-3.24534,0.37278,-6.9963
216,9.44976,0.27468,-19.7503
217,7.95725,0.27468,-18.2578
218,-5.03733,0.27468,-5.26317
219,-6.7322,0.27468,-3.5683
220,5.72059,0.27468,-16.0211
221,10.9439,0.46107,-20.5479
222,1.58892,0.46107,-11.1929
223,-8.10085,0.46107,-1.50314
224,-3.45157,0.46107,-6.15242
225,8.44787,0.46107,-18.0519
226,7.59648,0.26487,-17.5634
227,-6.6301,0.26487,-3.33686
228,-3.79294,0.26487,-6.17402
229,9.99975,0.26487,-19.9667
230,5.54857,0.26487,-15.5155
