timestamp (ms),GPS_Lon,Cal_Lon
950409.8220214844,35.1446989,35.1450507
950509.8220214844,35.1447357,35.1450692
950609.8220214844,35.1447357,35.1450901
950709.8220214844,35.1447357,35.145111
950809.8220214844,35.1447726,35.1451296
950909.8220214844,35.1447726,35.1451505
951009.8220214844,35.1447726,35.1451714
951109.8220214844,35.1448461,35.14519
951209.8220214844,35.1448461,35.1452108
951309.8220214844,35.1448461,35.1452316
951409.8220214844,35.1448827,35.14525
951509.8220214844,35.1448827,35.1452707
951609.8220214844,35.1449192,35.1452914
951709.8220214844,35.1449192,35.1453121
951809.8220214844,35.1449558,35.1453304
951909.8220214844,35.1449558,35.1453511
952009.8220214844,35.1449558,35.1453718
952109.8220214844,35.145029,35.1453902
952209.8220214844,35.145029,35.1454109
952309.8220214844,35.145029,35.1454316
952409.8220214844,35.1450656,35.1454523
952509.8220214844,35.1450656,35.145473
952609.8220214844,35.1451023,35.1454913
952709.8220214844,35.1451023,35.145512
952809.8220214844,35.1451023,35.1455327
952909.8220214844,35.145139,35.1455511
953009.8220214844,35.145139,35.1455719
953109.8220214844,35.1452124,35.1455904
953209.8220214844,35.1452124,35.1456109
953309.8220214844,35.1452124,35.1456314
953409.8220214844,35.1452492,35.1456495
953509.8220214844,35.1452492,35.1456701
953609.8220214844,35.1452862,35.1456907
953709.8220214844,35.1452862,35.1457113
953809.8220214844,35.1453232,35.1457319
953909.8220214844,35.1453232,35.1457526
954009.8220214844,35.1453232,35.1457733
954109.8220214844,35.1453971,35.1457916
954209.8220214844,35.1453971,35.1458123
954309.8220214844,35.1453971,35.145833
954409.8220214844,35.145434,35.1458513
954509.8220214844,35.145434,35.1458722
954609.8220214844,35.145471,35.1458906
954709.8220214844,35.145471,35.1459115
954809.8220214844,35.145471,35.1459324
954909.8220214844,35.1455079,35.1459509
955009.8220214844,35.1455079,35.1459718
955109.8220214844,35.1455817,35.1459903
955209.8220214844,35.1455817,35.1460112
955309.8220214844,35.1455817,35.1460321
955409.8220214844,35.1456186,35.1460506
955509.8220214844,35.1456186,35.1460716
955609.8220214844,35.1456556,35.1460901
955709.8220214844,35.1456556,35.146111
955809.8220214844,35.1456923,35.1461319
955909.8220214844,35.1456923,35.1461527
956009.8220214844,35.1456923,35.1461735
956109.8220214844,35.1457658,35.1461922
956209.8220214844,35.1457658,35.146213
956309.8220214844,35.1457658,35.1462338
956409.8220214844,35.1458025,35.1462524
956509.8220214844,35.1458025,35.1462732
956609.8220214844,35.1458391,35.1462919
956709.8220214844,35.1458391,35.1463128
956809.8220214844,35.1458391,35.1463337
956909.8220214844,35.1458756,35.1463525
957009.8220214844,35.1458756,35.1463734
957109.8220214844,35.1458756,35.1463943
957209.8220214844,35.1459483,35.1464135
957309.8220214844,35.1459847,35.1464323
957409.8220214844,35.1459847,35.1464531
957509.8220214844,35.1459847,35.1464739
957609.8220214844,35.1459847,35.1464947
957709.8220214844,35.1460211,35.1465135
957809.8220214844,35.1460211,35.1465343
957909.8220214844,35.1460938,35.1465535
958009.8220214844,35.1460938,35.1465742
958109.8220214844,35.14613,35.146593
958209.8220214844,35.14613,35.1466137
958309.8220214844,35.14613,35.1466344
958409.8220214844,35.1461661,35.1466532
958509.8220214844,35.1461661,35.1466739
958609.8220214844,35.1462021,35.1466926
958709.8220214844,35.1462021,35.1467132
958809.8220214844,35.1462021,35.1467338
958909.8220214844,35.1462743,35.1467528
959009.8220214844,35.1462743,35.1467734
959109.8220214844,35.1462743,35.146794
959209.8220214844,35.1463106,35.1468127
959309.8220214844,35.1463106,35.1468334
959409.8220214844,35.1463471,35.1468521
959509.8220214844,35.1463471,35.1468728
959609.8220214844,35.1463838,35.1468914
959709.8220214844,35.1463838,35.1469122
959809.8220214844,35.1463838,35.146933
959909.8220214844,35.1464574,35.1469518
960009.8220214844,35.1464574,35.1469728
960109.8220214844,35.1464574,35.1469938
960209.8220214844,35.1464943,35.1470126
960309.8220214844,35.1464943,35.1470335
960409.8220214844,35.1465312,35.1470523
960509.8220214844,35.1465312,35.1470733
960609.8220214844,35.1465312,35.1470943
960709.8220214844,35.1465681,35.1471131
960809.8220214844,35.1465681,35.1471341
960909.8220214844,35.1466423,35.1471531
961009.8220214844,35.1466423,35.1471742
961109.8220214844,35.1466796,35.1471932
961209.8220214844,35.1466796,35.1472144
961309.8220214844,35.1466796,35.1472356
961409.8220214844,35.1467169,35.1472546
961509.8220214844,35.1467169,35.1472759
961609.8220214844,35.1467544,35.1472951
961709.8220214844,35.1467544,35.1473165
961809.8220214844,35.1467544,35.1473379
961909.8220214844,35.146792,35.147357
962009.8220214844,35.146792,35.1473832
962109.8220214844,35.146792,35.1474094
962209.8220214844,35.146867,35.1474332
962309.8220214844,35.146867,35.1474594
962409.8220214844,35.1469048,35.147483
962509.8220214844,35.1469048,35.147509
962609.8220214844,35.146943,35.1475325
962709.8220214844,35.146943,35.1475583
962809.8220214844,35.146943,35.1475841
962909.8220214844,35.1469816,35.1476073
963009.8220214844,35.1469816,35.1476328
963109.8220214844,35.1470603,35.1476559
963209.8220214844,35.1470603,35.1476811
963309.8220214844,35.1470603,35.1477063
963409.8220214844,35.1471004,35.1477286
963509.8220214844,35.1471411,35.1477507
963609.8220214844,35.1471411,35.1477754
963709.8220214844,35.1471411,35.1478001
963809.8220214844,35.1471821,35.1478221
963909.8220214844,35.1471821,35.1478466
964009.8220214844,35.1471821,35.1478711
964109.8220214844,35.1471821,35.1478956
964209.8220214844,35.1472654,35.147917
964309.8220214844,35.1472654,35.1479414
964409.8220214844,35.1473074,35.147963
964509.8220214844,35.1473074,35.1479872
964609.8220214844,35.1473495,35.1480087
964709.8220214844,35.1473495,35.1480329
964809.8220214844,35.1473495,35.1480571
964909.8220214844,35.1473918,35.1480813
965009.8220214844,35.1473918,35.1481056
965109.8220214844,35.1474766,35.1481276
965209.8220214844,35.1474766,35.1481517
965309.8220214844,35.1474766,35.1481758
965409.8220214844,35.1475186,35.1481975
965509.8220214844,35.1475186,35.1482216
965609.8220214844,35.1475606,35.1482433
965709.8220214844,35.1475606,35.1482674
965809.8220214844,35.1476023,35.1482915
965909.8220214844,35.1476023,35.1483156
966009.8220214844,35.1476023,35.1483397
966109.8220214844,35.1476023,35.1483638
966209.8220214844,35.1476854,35.1483854
966309.8220214844,35.1476854,35.1484094
966409.8220214844,35.1477267,35.148431
966509.8220214844,35.1477267,35.148455
